티타임을위하여착한사람문성현열린사회와그적들눈사람속의검은항아리씨앗불목마른계절술먹고담배피우는엄마목련꽃그늘아래서	소설/시/희곡
111	기체크로마토질량분석법구화학분리된성분의기체크로마토그래피와질량분석법을직접결합하여시료의성분을분석하는방법기체크로마토그래피로성분시료를각성분별로분리하고난후분리된성분의질량스펙트럼으로각성분을정성분석하거나정량분석한다	[HISTORY]
129	기체크로마토질량분석법구화학분리된성분의기체크로마토그래피와질량분석법을직접결합하여시료의성분을분석하는방법기체크로마토그래피로성분시료를각성분별로분리하고난후분리된성분의질량스펙트럼으로각성분을정성분석하거나정량분석한다표준국어대사전국립국어원CCBYSA	[HISTORY]
4	수학낱말	[HISTORY]
201	법률명국가의강제력을수반하는사회규범국가및공공기관이제정한법률명령규칙조례따위이다법률국회의의결을거쳐대통령이서명하고공포함으로써성립하는국법헌법의다음단계에놓이며행정부의명령이나입법부와사법부의규칙따위와구별되어명령규칙이법률에위반되면법원에서그규칙이나명령의적용은거부되고법률이헌법에위반되면법원은그법률의적용을거부한다종교부처가설법한가르침과신자가지켜야할규율표준국어대사전국립국어원ccbysa	[HISTORY]
109	법천사지광국사현묘탑비구역사강원도원주시법천사터에있는탑비고려선종년에건립된것으로비문에지광국사의사적과제자의이름이새겨져있다우리나라국보로국보정식명칭은원주법천사지지광국사탑비이다표준국어대사전국립국어원ccbysa	[HISTORY]
55	법인의속인법구법률법인은어떠한곳에서도일정한국가의법률이적용되어야한다는것표준국어대사전국립국어원ccbysa	[HISTORY]
4	법치주의	[POSSIBLE]
2	법칙	[POSSIBLE]
4	경기종료	[HISTORY]
6	플레이어점수	[HISTORY]
4	승끄투봇	[HISTORY]
3	패손님	[HISTORY]
2	진행	[HISTORY]
2	주권	[HISTORY]
3	윤리학	[HISTORY]
3	단항식	[HISTORY]
4	물리법칙	[HISTORY]
2	의의	[HISTORY]
4	의식주의	[HISTORY]
3	왕중왕	[HISTORY]
3	관음증	[HISTORY]
2	움집	[POSSIBLE]
3	움직임	[POSSIBLE]
2	움막	[POSSIBLE]
3	묵사발	[POSSIBLE]
2	묵묵	[POSSIBLE]
3	묵묵히	[POSSIBLE]
2	수력	[HISTORY]
4	폭력주의	[HISTORY]
2	뱅뱅	[POSSIBLE]
2	뱅글	[POSSIBLE]
2	뱅크	[POSSIBLE]
6	약한상호작용	[HISTORY]
2	용용	[HISTORY]
2	용사	[POSSIBLE]
3	용수철	[POSSIBLE]
4	용두사미	[POSSIBLE]
2	재지	[HISTORY]
9	지하국대적퇴치설화	[HISTORY]
2	화살	[HISTORY]
3	살인범	[HISTORY]
2	범인	[HISTORY]
3	인간성	[HISTORY]
3	성직자	[HISTORY]
2	직무	[HISTORY]
2	직장	[POSSIBLE]
2	직사	[POSSIBLE]
4	직사각형	[POSSIBLE]
3	율모기	[HISTORY]
2	비비	[HISTORY]
2	학학	[HISTORY]
4	죄상첨죄	[HISTORY]
4	이쑤시개	[HISTORY]
2	듬직	[POSSIBLE]
4	듬성듬성	[POSSIBLE]
2	듬성	[POSSIBLE]
2	풍자	[HISTORY]
4	자린고비	[HISTORY]
2	단단	[HISTORY]
2	개월	[HISTORY]
2	시간	[HISTORY]
2	경경	[HISTORY]
2	엽엽	[HISTORY]
3	기차표	[HISTORY]
2	표표	[HISTORY]
3	표지표	[HISTORY]
2	표수	[HISTORY]
5	효과의법칙	[HISTORY]
6	폭탄먼지벌레	[HISTORY]
5	콘택트렌즈	[HISTORY]
7	키모트립시노젠	[HISTORY]
2	는기	[POSSIBLE]
2	는개	[POSSIBLE]
2	꼬리	[POSSIBLE]
2	꼬꼬	[POSSIBLE]
2	꼬치	[POSSIBLE]
2	참외	[HISTORY]
3	외갓집	[HISTORY]
9	수면시무호흡증후군	[HISTORY]
4	사회주의	[HISTORY]
9	의성탑리리오층석탑	[HISTORY]
8	원각사지십층석탑	[HISTORY]
7	탑식황산제조법	[HISTORY]
2	검사	[POSSIBLE]
2	검도	[POSSIBLE]
2	검술	[POSSIBLE]
2	탈진	[HISTORY]
4	진득진득	[HISTORY]
6	죄형법정주의	[HISTORY]
4	단군왕검	[HISTORY]
8	윤락행위등방지법	[HISTORY]
12	비대칭다이메틸하이드라진	[HISTORY]
4	득롱망촉	[HISTORY]
12	형사소송비용등에관한법률	[HISTORY]
4	엽상조직	[HISTORY]
9	형이상학적사고방법	[HISTORY]
10	법천사지광국사현묘탑	[HISTORY]
9	법률행위자유의원칙	[HISTORY]
2	율법	[POSSIBLE]
3	율무차	[POSSIBLE]
2	골대	[HISTORY]
8	대학수학능력시험	[HISTORY]
7	한국어기초사전	[HISTORY]
2	험난	[HISTORY]
2	낙지	[POSSIBLE]
2	낙원	[POSSIBLE]
2	낙낙	[POSSIBLE]
10	르샤틀리에브라운법칙	[HISTORY]
4	엽렵스레	[HISTORY]
2	듭새	[POSSIBLE]
12	약사유리광여래본원공덕경	[HISTORY]
12	원주법천사지지광국사탑비	[HISTORY]
5	촉탁살인죄	[HISTORY]
4	탑삭탑삭	[HISTORY]
2	삭발	[HISTORY]
5	섭씨온도계	[HISTORY]
3	상투메	[HISTORY]
4	관포지교	[HISTORY]
2	교수	[HISTORY]
4	내리사랑	[HISTORY]
4	족장아찌	[HISTORY]
2	찌찌	[HISTORY]
6	찌드럭찌드럭	[HISTORY]
2	만두	[POSSIBLE]
2	만만	[POSSIBLE]
2	만세	[POSSIBLE]
5	대한민국의	[HISTORY]
6	인천국제공항	[HISTORY]
6	김포국제공항	[HISTORY]
6	양양국제공항	[POSSIBLE]
6	제주국제공항	[POSSIBLE]
6	무안국제공항	[POSSIBLE]
2	사사	[POSSIBLE]
2	장수	[POSSIBLE]
2	소장	[POSSIBLE]
2	탕진	[POSSIBLE]
2	무장	[HISTORY]
2	극장	[HISTORY]
2	석탄	[HISTORY]
4	탄자니아	[HISTORY]
3	아질산	[HISTORY]
3	산사태	[HISTORY]
2	태음	[HISTORY]
2	음악	[HISTORY]
4	내온끄투	[HISTORY]
2	법기	[HISTORY]
2	법규	[HISTORY]
2	규리	[HISTORY]
2	율과	[HISTORY]
2	과자	[HISTORY]
4	다다익선	[HISTORY]
2	선수	[HISTORY]
9	사회주의인터내셔널	[HISTORY]
2	내일	[HISTORY]
3	일주일	[HISTORY]
2	논증	[HISTORY]
2	증거	[HISTORY]
3	이상한	[HISTORY]
2	국가	[HISTORY]
2	가족	[HISTORY]
3	럭비공	[POSSIBLE]
2	럭스	[POSSIBLE]
2	나루	[HISTORY]
2	누누	[HISTORY]
2	누각	[HISTORY]
3	각도기	[HISTORY]
4	법치국가	[HISTORY]
3	찌드럭	[HISTORY]
2	내선	[HISTORY]
2	사력	[POSSIBLE]
2	사기	[POSSIBLE]
3	홍길동	[HISTORY]
2	약조	[HISTORY]
2	조리	[HISTORY]
2	율무	[HISTORY]
2	무지	[HISTORY]
2	화석	[HISTORY]
2	주년	[HISTORY]
4	영계백숙	[HISTORY]
4	게르마늄	[MANUAL]
6	게르마늄원자	[MANUAL]
7	게르마늄화합물	[MANUAL]
11	디클로로디플루오로메탄	[MANUAL]
9	테트라클로로에틸렌	[MANUAL]
8	트리클로로에틸렌	[MANUAL]
7	디에틸렌글리콜	[MANUAL]
8	트리에틸렌글리콜	[MANUAL]
8	폴리에틸렌글리콜	[MANUAL]
7	폴리비닐알코올	[MANUAL]
8	폴리비닐피롤리돈	[MANUAL]
12	폴리테트라플루오로에틸렌	[MANUAL]
9	폴리프로필렌글리콜	[MANUAL]
12	폴리부틸렌테레프탈레이트	[MANUAL]
12	폴리에틸렌테레프탈레이트	[MANUAL]
8	헥사메틸렌디아민	[MANUAL]
13	디페닐메탄디이소시아네이트	[MANUAL]
11	톨루엔디이소시아네이트	[MANUAL]
6	메틸에틸케톤	[MANUAL]
8	메틸이소부틸케톤	[MANUAL]
7	디이소부틸케톤	[MANUAL]
7	디부틸탙레이트	[MANUAL]
7	디옥틸탙레이트	[MANUAL]
7	디메틸탙레이트	[MANUAL]
7	디에틸탙레이트	[MANUAL]
9	칼륨알루미늄백운모	[MANUAL]
9	알루미늄칼륨백운모	[MANUAL]
9	칼슘알루미늄규산염	[MANUAL]
11	마그네슘알루미늄규산염	[MANUAL]
11	알루미늄마그네슘규산염	[MANUAL]
11	트리플루오로메탄술폰산	[MANUAL]
9	테트라플루오로붕산	[MANUAL]
8	헥사플루오로인산	[MANUAL]
6	칼륨망간산염	[MANUAL]
8	칼륨페로시안화물	[MANUAL]
8	칼륨페리시안화물	[MANUAL]
9	나트륨페로시안화물	[MANUAL]
9	나트륨페리시안화물	[MANUAL]
9	암모늄페로시안화물	[MANUAL]
9	암모늄페리시안화물	[MANUAL]
8	알루미늄철규산염	[MANUAL]
8	철알루미늄규산염	[MANUAL]
5	티탄산바륨	[MANUAL]
7	티탄산스트론튬	[MANUAL]
4	티탄산납	[MANUAL]
8	지르콘산티탄산납	[MANUAL]
8	디메틸설폭사이드	[MANUAL]
8	디메틸포름아미드	[MANUAL]
9	디메틸아세트아미드	[MANUAL]
9	테트라하이드로푸란	[MANUAL]
11	메틸테트라하이드로푸란	[MANUAL]
6	디옥살산칼륨	[MANUAL]
7	디옥살산나트륨	[MANUAL]
7	디옥살산암모늄	[MANUAL]
10	모노소듐글루타메이트	[MANUAL]
9	디소듐이노시네이트	[MANUAL]
9	디소듐구아닐레이트	[MANUAL]
8	칼륨글루타메이트	[MANUAL]
8	칼슘글루타메이트	[MANUAL]
7	알루미나백운모	[MANUAL]
9	리튬알루미늄규산염	[MANUAL]
10	베릴륨알루미늄규산염	[MANUAL]
8	마그네슘철규산염	[MANUAL]
8	철마그네슘규산염	[MANUAL]
9	칼슘마그네슘규산염	[MANUAL]
9	마그네슘칼슘규산염	[MANUAL]
5	디페닐아민	[MANUAL]
6	트리페닐아민	[MANUAL]
5	디에틸아민	[MANUAL]
6	트리에틸아민	[MANUAL]
5	디메틸아민	[MANUAL]
6	트리메틸아민	[MANUAL]
8	디이소프로필아민	[MANUAL]
9	트리이소프로필아민	[MANUAL]
5	디부틸아민	[MANUAL]
6	트리부틸아민	[MANUAL]
6	에틸렌디아민	[MANUAL]
8	디에틸렌트리아민	[MANUAL]
9	트리에틸렌테트라민	[MANUAL]
9	테트라에틸렌펜타민	[MANUAL]
8	펜타에틸렌헥사민	[MANUAL]
7	폴리에틸렌이민	[MANUAL]
8	폴리아크릴아미드	[MANUAL]
6	폴리아크릴산	[MANUAL]
9	폴리메타크릴산메틸	[MANUAL]
9	폴리비닐아세테이트	[MANUAL]
7	폴리비닐부티랄	[MANUAL]
9	폴리비닐클로라이드	[MANUAL]
11	폴리비닐리덴클로라이드	[MANUAL]
12	폴리비닐리덴플루오라이드	[MANUAL]
11	폴리테트라메틸렌글리콜	[MANUAL]
7	폴리카보네이트	[MANUAL]
6	폴리에스테르	[MANUAL]
5	폴리아미드	[MANUAL]
5	폴리우레탄	[MANUAL]
5	폴리이미드	[MANUAL]
8	폴리벤즈이미다졸	[MANUAL]
9	폴리페닐렌설파이드	[MANUAL]
8	폴리페닐렌에테르	[MANUAL]
10	폴리에테르에테르케톤	[MANUAL]
9	폴리에테르케톤케톤	[MANUAL]
8	폴리에테르이미드	[MANUAL]
4	폴리설폰	[MANUAL]
7	폴리에테르설폰	[MANUAL]
7	폴리아릴레이트	[MANUAL]
6	폴리부타디엔	[MANUAL]
6	폴리이소프렌	[MANUAL]
7	폴리클로로프렌	[MANUAL]
7	폴리이소부틸렌	[MANUAL]
9	에틸렌프로필렌고무	[MANUAL]
11	에틸렌프로필렌디엔고무	[MANUAL]
13	아크릴로니트릴부타디엔고무	[MANUAL]
9	스티렌부타디엔고무	[MANUAL]
4	부틸고무	[MANUAL]
7	클로로프렌고무	[MANUAL]
5	실리콘고무	[MANUAL]
9	플루오로실리콘고무	[MANUAL]
4	불소고무	[MANUAL]
5	우레탄고무	[MANUAL]
5	아크릴고무	[MANUAL]
11	에피클로로하이드린고무	[MANUAL]
8	폴리설파이드고무	[MANUAL]
16	수소화아크릴로니트릴부타디엔고무	[MANUAL]
9	열가소성엘라스토머	[MANUAL]
13	스티렌계열가소성엘라스토머	[MANUAL]
13	올레핀계열가소성엘라스토머	[MANUAL]
14	염화비닐계열가소성엘라스토머	[MANUAL]
13	우레탄계열가소성엘라스토머	[MANUAL]
14	에스테르계열가소성엘라스토머	[MANUAL]
13	아미드계열가소성엘라스토머	[MANUAL]
12	불소계열가소성엘라스토머	[MANUAL]
6	폴리염화비닐	[MANUAL]
8	폴리염화비닐리덴	[MANUAL]
6	폴리불화비닐	[MANUAL]
8	폴리불화비닐리덴	[MANUAL]
14	폴리클로로트리플루오로에틸렌	[MANUAL]
13	에틸렌테트라플루오로에틸렌	[MANUAL]
15	에틸렌클로로트리플루오로에틸렌	[MANUAL]
11	플루오로에틸렌프로필렌	[MANUAL]
8	퍼플루오로알콕시	[MANUAL]
7	폴리비닐아세탈	[MANUAL]
7	폴리비닐포르말	[MANUAL]
7	폴리메타크릴산	[MANUAL]
8	폴리아크릴산메틸	[MANUAL]
8	폴리아크릴산에틸	[MANUAL]
9	폴리메타크릴산에틸	[MANUAL]
8	폴리아크릴산부틸	[MANUAL]
9	폴리메타크릴산부틸	[MANUAL]
9	폴리아크릴로니트릴	[MANUAL]
10	폴리메타크릴로니트릴	[MANUAL]
9	폴리메타크릴아미드	[MANUAL]
8	폴리아세트산비닐	[MANUAL]
9	폴리프로피온산비닐	[MANUAL]
6	폴리낙산비닐	[MANUAL]
8	폴리발레르산비닐	[MANUAL]
8	폴리안식향산비닐	[MANUAL]
5	폴리스티렌	[MANUAL]
9	폴리아파메틸스티렌	[MANUAL]
8	폴리클로로스티렌	[MANUAL]
8	폴리브로모스티렌	[MANUAL]
9	폴리플루오로스티렌	[MANUAL]
8	폴리메톡시스티렌	[MANUAL]
5	폴리에틸렌	[MANUAL]
6	폴리프로필렌	[MANUAL]
4	폴리부텐	[MANUAL]
4	폴리펜텐	[MANUAL]
4	폴리헥센	[MANUAL]
4	폴리옥텐	[MANUAL]
6	폴리메틸펜텐	[MANUAL]
7	폴리시클로펜텐	[MANUAL]
7	폴리노르보르넨	[MANUAL]
10	폴리디시클로펜타디엔	[MANUAL]
12	폴리알킬렌테레프탈레이트	[MANUAL]
13	폴리프로필렌테레프탈레이트	[MANUAL]
18	폴리시클로헥산디메틸렌테레프탈레이트	[MANUAL]
11	폴리에틸렌나프탈레이트	[MANUAL]
11	폴리부틸렌나프탈레이트	[MANUAL]
7	폴리에테르케톤	[MANUAL]
12	폴리에테르에테르케톤케톤	[MANUAL]
7	폴리페닐렌설폰	[MANUAL]
6	폴리아미드T	[MANUAL]
7	폴리아릴아미드	[MANUAL]
7	폴리프탈아미드	[MANUAL]
8	폴리아미드이미드	[MANUAL]
9	폴리에스테르이미드	[MANUAL]
6	폴리벤족사졸	[MANUAL]
7	폴리벤조티아졸	[MANUAL]
5	폴리퀴놀린	[MANUAL]
6	폴리퀴녹살린	[MANUAL]
5	에폭시수지	[MANUAL]
4	페놀수지	[MANUAL]
5	멜라민수지	[MANUAL]
4	요소수지	[MANUAL]
11	불포화폴리에스테르수지	[MANUAL]
5	알키드수지	[MANUAL]
10	디알릴프탈레이트수지	[MANUAL]
5	실리콘수지	[MANUAL]
7	폴리우레탄수지	[MANUAL]
4	동의보감	[MANUAL]
4	방약합편	[MANUAL]
5	향약집성방	[MANUAL]
4	의방유취	[MANUAL]
4	마과회통	[MANUAL]
5	침구경험방	[MANUAL]
4	제중신편	[MANUAL]
6	동의수세보원	[MANUAL]
4	제중요편	[MANUAL]
7	향약제생집성방	[MANUAL]
4	의림촬요	[MANUAL]
7	동의보감내경편	[MANUAL]
7	동의보감외형편	[MANUAL]
7	동의보감잡병편	[MANUAL]
7	동의보감탕액편	[MANUAL]
7	동의보감침구편	[MANUAL]
4	훈민정음	[MANUAL]
7	훈민정음해례본	[MANUAL]
7	훈민정음언해본	[MANUAL]
5	용비어천가	[MANUAL]
4	석보상절	[MANUAL]
4	월인석보	[MANUAL]
6	월인천강지곡	[MANUAL]
5	능엄경언해	[MANUAL]
4	두시언해	[MANUAL]
5	번역노걸대	[MANUAL]
5	번역박통사	[MANUAL]
4	소학언해	[MANUAL]
5	삼강행실도	[MANUAL]
5	이륜행실도	[MANUAL]
5	오륜행실도	[MANUAL]
6	속삼강행실도	[MANUAL]
4	동국정운	[MANUAL]
4	삼운성성	[MANUAL]
4	전운옥편	[MANUAL]
5	규곤시의방	[MANUAL]
5	음식디미방	[MANUAL]
4	산가요록	[MANUAL]
4	수운잡방	[MANUAL]
5	임원경제지	[MANUAL]
4	산림경제	[MANUAL]
2	색경	[MANUAL]
6	증보산림경제	[MANUAL]
4	고사신서	[MANUAL]
3	택리지	[MANUAL]
4	성호사설	[MANUAL]
4	열하일기	[MANUAL]
3	북학의	[MANUAL]
4	의산문답	[MANUAL]
3	담헌서	[MANUAL]
3	연암집	[MANUAL]
5	다산시문집	[MANUAL]
4	목민심서	[MANUAL]
4	경세유표	[MANUAL]
4	흥구신서	[MANUAL]
5	아방강역고	[MANUAL]
4	대동수경	[MANUAL]
2	의령	[MANUAL]
7	지구과학교육과	[MANUAL]
5	물리교육과	[MANUAL]
5	생물교육과	[MANUAL]
5	수학교육과	[MANUAL]
6	컴퓨터교육과	[MANUAL]
5	체육교육과	[MANUAL]
5	음악교육과	[MANUAL]
5	미술교육과	[MANUAL]
5	국어교육과	[MANUAL]
5	영어교육과	[MANUAL]
5	불어교육과	[MANUAL]
5	독어교육과	[MANUAL]
5	일어교육과	[MANUAL]
5	중어교육과	[MANUAL]
5	한문교육과	[MANUAL]
5	지리교육과	[MANUAL]
7	일반사회교육과	[MANUAL]
5	유아교육과	[MANUAL]
5	초등교육과	[MANUAL]
5	특수교육과	[MANUAL]
7	유아특수교육과	[MANUAL]
7	초등특수교육과	[MANUAL]
7	중등특수교육과	[MANUAL]
5	전자공학과	[MANUAL]
5	전기공학과	[MANUAL]
7	제어계측공학과	[MANUAL]
6	컴퓨터공학과	[MANUAL]
8	소프트웨어공학과	[MANUAL]
7	정보통신공학과	[MANUAL]
5	통신공학과	[MANUAL]
5	전파공학과	[MANUAL]
4	광공학과	[MANUAL]
5	기계공학과	[MANUAL]
7	기계설계공학과	[MANUAL]
7	정밀기계공학과	[MANUAL]
6	자동차공학과	[MANUAL]
7	항공우주공학과	[MANUAL]
7	조선해양공학과	[MANUAL]
5	산업공학과	[MANUAL]
5	생명공학과	[MANUAL]
5	유전공학과	[MANUAL]
6	바이오공학과	[MANUAL]
6	고분자공학과	[MANUAL]
5	재료공학과	[MANUAL]
6	신소재공학과	[MANUAL]
5	금속공학과	[MANUAL]
7	무기재료공학과	[MANUAL]
5	나노공학과	[MANUAL]
5	토목공학과	[MANUAL]
5	건설공학과	[MANUAL]
5	건축공학과	[MANUAL]
6	건축공학전공	[MANUAL]
5	건축학전공	[MANUAL]
5	도시공학과	[MANUAL]
5	환경공학과	[MANUAL]
5	자원공학과	[MANUAL]
6	에너지공학과	[MANUAL]
6	원자핵공학과	[MANUAL]
6	원자력공학과	[MANUAL]
5	안전공학과	[MANUAL]
5	소방공학과	[MANUAL]
5	해양공학과	[MANUAL]
5	농업공학과	[MANUAL]
9	생물산업기계공학과	[MANUAL]
5	식품공학과	[MANUAL]
4	의공학과	[MANUAL]
5	의용공학과	[MANUAL]
10	광메카트로닉스공학과	[MANUAL]
9	메카트로닉스공학과	[MANUAL]
5	로봇공학과	[MANUAL]
7	제어로봇공학과	[MANUAL]
11	나노메카트로닉스공학과	[MANUAL]
7	나노생명공학과	[MANUAL]
8	나노신소재공학과	[MANUAL]
7	나노정보공학과	[MANUAL]
8	나노바이오공학과	[MANUAL]
6	정보보호학과	[MANUAL]
6	정보보안학과	[MANUAL]
7	사이버보안학과	[MANUAL]
9	데이터사이언스학과	[MANUAL]
6	빅데이터학과	[MANUAL]
6	스마트팜학과	[MANUAL]
7	스마트시티학과	[MANUAL]
9	스마트모빌리티학과	[MANUAL]
6	반도체공학과	[MANUAL]
8	디스플레이공학과	[MANUAL]
9	신재생에너지공학과	[MANUAL]
7	이차전지공학과	[MANUAL]
6	배터리공학과	[MANUAL]
8	미래자동차공학과	[MANUAL]
7	자율주행공학과	[MANUAL]
8	스마트주행공학과	[MANUAL]
8	무인항공기공학과	[MANUAL]
5	드론공학과	[MANUAL]
7	우주항공공학과	[MANUAL]
5	국방공학과	[MANUAL]
5	군사공학과	[MANUAL]
6	플랜트공학과	[MANUAL]
7	분자생물공학과	[MANUAL]
6	유전체공학과	[MANUAL]
6	단백질공학과	[MANUAL]
5	세포공학과	[MANUAL]
5	조직공학과	[MANUAL]
7	줄기세포공학과	[MANUAL]
5	의뇌공학과	[MANUAL]
4	뇌공학과	[MANUAL]
5	신경공학과	[MANUAL]
7	의료정보공학과	[MANUAL]
5	의료공학과	[MANUAL]
7	헬스케어공학과	[MANUAL]
10	스마트헬스케어공학과	[MANUAL]
10	디지털헬스케어공학과	[MANUAL]
9	바이오메디컬공학과	[MANUAL]
7	바이오의공학과	[MANUAL]
8	바이오나노공학과	[MANUAL]
8	바이오소재공학과	[MANUAL]
9	바이오에너지공학과	[MANUAL]
8	바이오자원공학과	[MANUAL]
8	바이오정보공학과	[MANUAL]
10	바이오인포매틱스학과	[MANUAL]
6	생명정보학과	[MANUAL]
5	게놈공학과	[MANUAL]
6	게놈정보학과	[MANUAL]
6	합성생물학과	[MANUAL]
6	미생물공학과	[MANUAL]
5	발효공학과	[MANUAL]
7	식품생명공학과	[MANUAL]
6	식품영양학과	[MANUAL]
6	식품가공학과	[MANUAL]
8	식품바이오공학과	[MANUAL]
6	농생명공학과	[MANUAL]
7	원예생명공학과	[MANUAL]
6	산림자원학과	[MANUAL]
5	임산공학과	[MANUAL]
7	목재응용과학과	[MANUAL]
6	자원생물학과	[MANUAL]
7	해양생명과학과	[MANUAL]
8	해양바이오공학과	[MANUAL]
6	수산양식학과	[MANUAL]
7	축산생명공학과	[MANUAL]
7	동물생명공학과	[MANUAL]
7	동물소재공학과	[MANUAL]
6	동물자원학과	[MANUAL]
6	반려동물학과	[MANUAL]
8	반려동물보건학과	[MANUAL]
4	수의예과	[MANUAL]
3	의예과	[MANUAL]
4	치의예과	[MANUAL]
4	한의예과	[MANUAL]
3	약학과	[MANUAL]
4	제약학과	[MANUAL]
4	한약학과	[MANUAL]
4	간호학과	[MANUAL]
6	물리치료학과	[MANUAL]
6	작업치료학과	[MANUAL]
6	임상병리학과	[MANUAL]
5	방사선학과	[MANUAL]
4	치위생과	[MANUAL]
5	치기공학과	[MANUAL]
6	언어치료학과	[MANUAL]
4	청각학과	[MANUAL]
6	임상심리학과	[MANUAL]
6	상담심리학과	[MANUAL]
6	운동처방학과	[MANUAL]
5	재활공학과	[MANUAL]
6	의료경영학과	[MANUAL]
7	병원의용공학과	[MANUAL]
5	보건행정과	[MANUAL]
6	보건관리학과	[MANUAL]
6	환경보건학과	[MANUAL]
6	산업보건학과	[MANUAL]
4	위생학과	[MANUAL]
6	응급구조학과	[MANUAL]
6	의무기록학과	[MANUAL]
8	의료정보관리학과	[MANUAL]
6	보건정보학과	[MANUAL]
5	안경광학과	[MANUAL]
5	응용광학과	[MANUAL]
6	광전자공학과	[MANUAL]
6	광소자공학과	[MANUAL]
6	광통신공학과	[MANUAL]
9	광디스플레이공학과	[MANUAL]
7	전자재료공학과	[MANUAL]
8	반도체재료공학과	[MANUAL]
7	유기재료공학과	[MANUAL]
8	고분자재료공학과	[MANUAL]
7	복합재료공학과	[MANUAL]
7	나노재료공학과	[MANUAL]
5	표면공학과	[MANUAL]
5	박막공학과	[MANUAL]
5	결정공학과	[MANUAL]
6	세라믹공학과	[MANUAL]
6	내화물공학과	[MANUAL]
5	유리공학과	[MANUAL]
6	시멘트공학과	[MANUAL]
7	콘크리트공학과	[MANUAL]
5	구조공학과	[MANUAL]
5	지반공학과	[MANUAL]
5	수문공학과	[MANUAL]
5	수리공학과	[MANUAL]
6	수자원공학과	[MANUAL]
7	해양토목공학과	[MANUAL]
5	항만공학과	[MANUAL]
5	도로공학과	[MANUAL]
5	철도공학과	[MANUAL]
5	교통공학과	[MANUAL]
6	도시계획학과	[MANUAL]
5	도시행정과	[MANUAL]
6	도시조경학과	[MANUAL]
4	조경학과	[MANUAL]
6	원예조경학과	[MANUAL]
6	실내건축학과	[MANUAL]
7	건축디자인학과	[MANUAL]
6	건축설계학과	[MANUAL]
7	건축설비공학과	[MANUAL]
7	건축환경공학과	[MANUAL]
7	건축재료공학과	[MANUAL]
7	건축구조공학과	[MANUAL]
7	건축시공공학과	[MANUAL]
7	건축방재공학과	[MANUAL]
7	소방방재공학과	[MANUAL]
5	방재공학과	[MANUAL]
6	안전관리학과	[MANUAL]
7	산업안전공학과	[MANUAL]
7	건설안전공학과	[MANUAL]
7	전기안전공학과	[MANUAL]
7	가스안전공학과	[MANUAL]
8	원자력안전공학과	[MANUAL]
8	방사선안전공학과	[MANUAL]
7	환경안전공학과	[MANUAL]
8	위험물안전공학과	[MANUAL]
7	교통안전공학과	[MANUAL]
7	해양안전공학과	[MANUAL]
7	항공안전공학과	[MANUAL]
7	국방안전공학과	[MANUAL]
5	위성공학과	[MANUAL]
7	우주탐사공학과	[MANUAL]
5	로켓공학과	[MANUAL]
6	추진체공학과	[MANUAL]
6	유도탄공학과	[MANUAL]
6	레이더공학과	[MANUAL]
5	항법공학과	[MANUAL]
7	항공전자공학과	[MANUAL]
6	항공정비학과	[MANUAL]
6	항공운항학과	[MANUAL]
8	항공교통물류학과	[MANUAL]
6	항공경영학과	[MANUAL]
5	조선공학과	[MANUAL]
8	해양구조물공학과	[MANUAL]
8	해양에너지공학과	[MANUAL]
7	해양자원공학과	[MANUAL]
7	해양환경공학과	[MANUAL]
6	해양기상학과	[MANUAL]
6	해양물리학과	[MANUAL]
6	해양생물학과	[MANUAL]
6	해양지질학과	[MANUAL]
6	해양측량학과	[MANUAL]
6	지형측량학과	[MANUAL]
5	지적공학과	[MANUAL]
6	지적정보학과	[MANUAL]
7	공간정보공학과	[MANUAL]
4	지공학과	[MANUAL]
6	원격탐사학과	[MANUAL]
6	위성정보학과	[MANUAL]
5	측량공학과	[MANUAL]
5	지도공학과	[MANUAL]
6	국토계획학과	[MANUAL]
6	지역개발학과	[MANUAL]
6	농촌개발학과	[MANUAL]
6	도시재생학과	[MANUAL]
5	부동산학과	[MANUAL]
7	부동산금융학과	[MANUAL]
7	부동산개발학과	[MANUAL]
9	부동산자산관리학과	[MANUAL]
7	부동산경매학과	[MANUAL]
9	부동산도시계획학과	[MANUAL]
5	금융공학과	[MANUAL]
4	계리학과	[MANUAL]
6	보험수리학과	[MANUAL]
5	응용수학과	[MANUAL]
5	전산수학과	[MANUAL]
4	통계학과	[MANUAL]
6	응용통계학과	[MANUAL]
7	데이터통계학과	[MANUAL]
6	수리통계학과	[MANUAL]
6	계량경제학과	[MANUAL]
6	경영통계학과	[MANUAL]
6	산업통계학과	[MANUAL]
8	빅데이터분석학과	[MANUAL]
6	전산통계학과	[MANUAL]
6	경영정보학과	[MANUAL]
6	산업정보학과	[MANUAL]
6	유통정보학과	[MANUAL]
6	물류정보학과	[MANUAL]
6	무역정보학과	[MANUAL]
6	회계정보학과	[MANUAL]
6	세무정보학과	[MANUAL]
6	금융정보학과	[MANUAL]
7	마케팅정보학과	[MANUAL]
6	지식재산학과	[MANUAL]
6	특허정보학과	[MANUAL]
6	기술경영학과	[MANUAL]
6	혁신경영학과	[MANUAL]
6	벤처경영학과	[MANUAL]
6	창업경영학과	[MANUAL]
7	기업가정신학과	[MANUAL]
7	글로벌경영학과	[MANUAL]
7	글로벌무역학과	[MANUAL]
7	글로벌금융학과	[MANUAL]
8	글로벌마케팅학과	[MANUAL]
