티타임을위하여착한사람문성현열린사회와그적들눈사람속의검은항아리씨앗불목마른계절술먹고담배피우는엄마목련꽃그늘아래서	소설/시/희곡
22	hundredandseventyfifth	-
21	hundredandthirtyfifth	-
21	hundredandtwentyfifth	-
21	hypogammaglobulinemia	-
20	hexachlorodisiloxane	화학
20	hundredandseventieth	-
20	hundredandsixtyfifth	-
20	hundredandfiftyfifth	-
20	hundredandfortyfifth	-
20	heterobasidiomycetes	식물
20	hyperlipoproteinemia	-
20	hypercholesterolemia	-
20	histoincompatibility	-
20	hypolipoproteinemia	-
20	hyperadrenocorticism	-
19	hysterosalpingogram	-
19	hypoadrenocorticism	-
19	hyperparathyroidism	-
19	hydroxytetracycline	-
19	hydrochlorothiazide	-
19	hundredandninetieth	-
19	hundredandeightieth	-
19	hundredandfifteenth	-
19	hundredandtwentieth	-
18	hemidemisemiquaver	-
18	homobasidiomycetes	식물
18	hexachlorodisilane	화학
18	hypoparathyroidism	-
18	hypercholesteremia	-
18	hyperbilirubinemia	-
18	hyperaldosteronism	-
18	hydroxychloroquine	-
18	hydroflumethiazide	-
18	histocompatibility	-
18	hundredandsixtieth	-
18	hundredandfiftieth	-
18	hundredandfortieth	-
18	hundredandthirtieth	-
[i]
글자 수	단어	주제
21	immunoelectrophoresis	-
21	iodotrifluoroethylene	화학
20	immunohistochemistry	-
20	iodochlorhydroxyquin	-
20	incontrovertibleness	-
20	internationalization	-
20	internationalisation	-
20	indistinguishability	-
19	incomprehensibility	-
19	interchangeableness	-
19	interdenominational	-
19	intellectualisation	-
19	intellectualization	-
19	individualistically	-
19	incontrovertibility	-
18	intercommunication	-
18	interconnectedness	-
18	internationalistic	-
17	isoselenocyanates	화학
[j]
글자 수	단어	주제
17	jurisprudentially	-
16	jungermanniaceae	식물
16	japanesespeaking	-
16	journalistically	-
15	jungermanniales	식물
15	jackinthepulpit	식물
15	jurisprudential	-
14	judeochristian	-
14	jewishorthodox	-
13	jackknifefish	동물
13	juncaginaceae	식물
13	justification	-
13	justificatory	-
12	journalistic	-
12	johnnyjumpup	식물
12	javanthropus	동물
12	johannesburg	지명
10	journeyman	사람
[k]
글자 수	단어	주제
23	kissmeoverthegardengate	식물
23	ketodihydrotestosterone	화학
20	keratoconjunctivitis	-
19	knockdownanddragout	-
17	knowledgeableness	-
16	ketoandrosterone	화학
16	ketotestosterone	화학
16	knockdowndragout	-
16	krypterophaneron	동물
16	knowledgeability	-
16	kinaesthetically	-
15	kannadaspeaking	-
15	keratoacanthoma	-
15	kindheartedness	감정
15	kaleidoscopical	-
15	kinesthetically	-
15	keratoscleritis	-
14	knickerbockers	-
14	kalotermitidae	동물
14	kilovoltampere	-
14	kindergartener	사람
14	keratinization	-
14	keratinisation	-
13	knowledgeable	-
13	kilogrammeter	-
13	kangaskhanite	포켓몬스터
13	kenyapithecus	동물
13	klyuchevskaya	지명
13	knickknackery	-
13	kinanesthesia	-
13	kindergartner	사람
13	karlmarxstadt	지명
13	keratomycosis	-
13	keratomalacia	-
13	kittycornered	-
13	kinosternidae	동물
13	kaleidoscopic	-
[l]
글자 수	단어	주제
24	lysophosphatidylinositol	화학
24	laryngotracheobronchitis	-
20	lipochondrodystrophy	-
19	languedocroussillon	지명
19	levomethamphetamine	화학
19	largecapitalisation	-
19	largecapitalization	-
18	latespringblooming	-
18	laryngopharyngitis	-
17	lactobacteriaceae	동물
17	laryngopharyngeal	-
17	lepidopterologist	사람
17	leukoencephalitis	-
17	logogrammatically	-
17	lumpenproletariat	-
16	lawfullybegotten	-
16	loveliesbleeding	식물
15	labourintensive	-
15	luxembourgville	지명
15	lymphadenopathy	-
15	lexicostatistics	-
[m]
글자 수	단어	주제
29	methylenedioxymethamphetamine	-
24	microgrammapiloselloides	식물
21	methylsulfonylmethane	화학
21	markazuddawawalirshad	-
21	mucopolysaccharidosis	-
20	magnetohydrodynamics	-
19	makataimeshekiakiak	사람
19	meningoencephalitis	-
19	mercurycontaminated	-
19	medroxyprogesterone	-
18	methyltestosterone	-
